Date,Close,High,Low,Open,Volume,RSI,MA10,MA20,MA50,MACD
2025-06-30,56588.94140625,56787.499095394734,56489.66256167763,56588.94140625,2952200,53.1208493465857,56281.176171875,56032.979296875,56523.41671875,125.7404814017383
2025-07-01,56588.94140625,56787.499095394734,56489.66256167763,56588.94140625,2952200,53.1208493465857,56320.887890625,56072.6908203125,56493.633046875,134.5219155287102
2025-07-02,57780.28515625,58375.95819909794,56688.21791102878,56787.49675150344,10049500,66.15892633285085,56420.16640625,56142.1859375,56497.604140625,211.22310506322373
2025-07-03,57581.73046875,58177.40354256465,57283.89393184267,57879.56700565733,2913600,63.01339219368826,56549.22890625,56211.68125,56493.633046875,237.2927869572
2025-07-04,57482.44921875,58375.95879209844,57283.891535783674,57681.00690171632,7395300,61.44038164643392,56678.29140625,56291.104296875,56501.5753125,236.05556555392582
2025-07-07,58177.40234375,58475.23887452005,57780.286969389934,58078.123500159985,8056200,67.54730538978936,56876.84921875,56425.1306640625,56523.416640625,267.91592733009986
2025-07-08,58177.40234375,58475.23887452005,57780.286969389934,58078.123500159985,8056200,67.54730538978936,57075.40703125,56559.15703125,56549.229140625,273.890120732856
2025-07-09,58574.51953125,59070.913764565674,58177.40414459746,58375.96183792373,10394500,70.62997271309743,57313.6765625,56713.0392578125,56582.983984375,288.0450283881886
2025-07-10,61056.48828125,61354.32480945122,58971.63258384146,58971.63258384146,16449700,82.08433857582864,57800.14296875,57000.9478515625,56666.378203125,438.97926884122523
2025-07-11,60957.2109375,61354.32631820032,60560.09555679967,61354.32631820032,8152900,80.72811885144147,58296.537109375,57269.00078125,56747.786875,502.00230495262497
2025-07-14,61950.0,62446.394230769234,60560.096153846156,62446.394230769234,6475000,83.63926541658059,58832.64296875,57556.9095703125,56849.051328125,575.1694915951613
2025-07-15,61950.0,62446.394230769234,60560.096153846156,62446.394230769234,6475000,83.63926541658059,59368.748828125,57844.818359375,56954.286953125,586.1908841902755
